Video Name,Keywords
Mod05_Sect01_ver2.mp4,"['image', 'computer_vision', 'object', 'analysis', 'detection', 'data', 'model', 'classification', 'home', 'also']"
Mod02_Sect03.mp4,"['data', 'model', 'training', 'feature', 'later', 'value', 'problem', 'course', 'process', 'target']"
Mod05_Sect03_part3.mp4,"['label', 'model', 'test', 'data', 'image', 'custom', 'metric', 'cat', 'amazon_recognition', 'performance']"
Mod04_Sect02_part1.mp4,"['data', 'value', 'sale', 'missing', 'series', 'model', 'also', 'stamp', 'forecasting', 'retail']"
Mod04_WrapUp.mp4,"['amazon_forecast', 'describe', 'wrap', 'learned', 'business', 'problem', 'solved', 'challenge', 'working', 'series']"
Mod02_Sect01.mp4,"['machine_learning', 'model', 'neuron', 'human', 'deep_learning', 'layer', 'message', 'spam', 'output', 'task']"
Mod06_Sect01.mp4,"['word', 'nlp', 'text', 'model', 'phrase', 'term', 'application', 'system', 'challenge', 'meaning']"
Mod01_Course Overview.mp4,"['machine_learning', 'data', 'also', 'learn', 'skill', 'course', 'problem', 'scientist', 'amazon', 'sagemaker']"
Mod05_WrapUp_ver2.mp4,"['describe', 'computer_vision', 'amazon', 'prepare', 'custom', 'data', 'detection', 'summarize', 'main', 'point']"
Mod02_WrapUp.mp4,"['machine_learning', 'looked', 'problem', 'solve', 'data', 'tool', 'artificial_intelligence', 'describe', 'main', 'takeaway']"
Mod05_Sect02_part1_ver2.mp4,"['image', 'amazon_recognition', 'amazon', 'object', 'service', 'application', 'content', 'user', 'aws', 'lambda']"
Mod05_Sect03_part4_ver2.mp4,"['label', 'image', 'model', 'object', 'custom', 'training', 'confidence', 'threshold', 'dog', 'value']"
Mod06_WrapUp.mp4,"['describe', 'nlp', 'managed', 'service', 'wrap', 'summary', 'learn', 'case', 'solved', 'using']"
Mod03_Sect01.mp4,"['data', 'problem', 'machine_learning', 'model', 'business', 'transaction', 'also', 'question', 'ask', 'solution']"
Mod05_Sect02_part2.mp4,"['face', 'amazon_recognition', 'image', 'stream', 'also', 'facial', 'detection', 'confidence', 'information', 'feature']"
Mod03_WrapUp.mp4,"['data', 'model', 'amazon', 'sagemaker', 'machine_learning', 'using', 'wrap', 'knowledge', 'check', 'learned']"
Mod03_Intro.mp4,"['machine_learning', 'amazon', 'sagemaker', 'data', 'model', 'process', 'problem', 'pipeline', 'using', 'aws']"
Mod03_Sect02_part3.mp4,"['data', 'aws', 'secure', 'access', 'service', 'also', 'security', 'sure', 'cloudtrail', 'account']"
Mod02_Intro.mp4,"['machine_learning', 'business', 'problem', 'terminology', 'process', 'tool', 'artificial_intelligence', 'describe', 'identify', 'aws']"
Mod03_Sect07_part3.mp4,"['model', 'metric', 'positive', 'true', 'cat', 'false', 'sensitivity', 'prediction', 'rate', 'negative']"
Mod03_Sect08.mp4,"['model', 'hyperparameters', 'data', 'value', 'hyperparameter', 'training', 'job', 'tuning', 'sagemaker', 'best']"
Mod04_Sect02_part3.mp4,"['data', 'forecast', 'model', 'amazon_forecast', 'value', 'quantile', 'item', 'glove', 'predictor', 'also']"
Mod05_Sect03_part1.mp4,"['image', 'model', 'amazon_recognition', 'label', 'training', 'custom', 'data', 'machine_learning', 'detect', 'object']"
Mod03_Sect03_part3.mp4,"['correlation', 'data', 'relationship', 'linear', 'variable', 'minus', 'there', 'acidity', 'number', 'acid']"
Mod02_Sect04.mp4,"['machine_learning', 'jupyter', 'also', 'data', 'tool', 'amazon', 'notebook', 'text', 'library', 'provides']"
Mod04_Sect01.mp4,"['pattern', 'forecasting', 'data', 'series', 'important', 'opportunity', 'component', 'also', 'type', 'mean']"
Mod03_Sect04_part1.mp4,"['data', 'feature', 'value', 'column', 'model', 'text', 'numerical', 'sure', 'encode', 'machine_learning']"
Mod03_Sect03_part2.mp4,"['data', 'value', 'feature', 'variable', 'plot', 'statistic', 'attribute', 'relationship', 'column', 'correlation']"
Mod03_Sect02_part2.mp4,"['data', 'aws', 'glue', 'etl', 'job', 'extract', 'transform', 'also', 'source', 'file']"
Mod05_Intro.mp4,"['computer_vision', 'service', 'amazon', 'data', 'detection', 'describe', 'aws', 'machine_learning', 'case', 'image']"
Mod03_Sect04_part2.mp4,"['data', 'missing', 'value', 'variable', 'impute', 'row', 'also', 'single', 'include', 'column']"
Mod03_Sect05.mp4,"['data', 'training', 'model', 'algorithm', 'amazon', 'sagemaker', 'test', 'using', 'learning', 'different']"
Mod03_Sect04_part3.mp4,"['feature', 'outlier', 'model', 'data', 'method', 'filter', 'value', 'wrapper', 'subset', 'also']"
Mod03_Sect02_part1.mp4,"['data', 'amazon', 'training', 'transaction', 'service', 'model', 'source', 'also', 'target', 'file']"
Mod04_Intro.mp4,"['amazon_forecast', 'data', 'forecasting', 'series', 'forecast', 'describe', 'aws', 'academy', 'machine_learning', 'introduction']"
